Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Emmanuel Clase,CLE,551.3,8.55,Emmanuel Clase,21032,661403,212.90199999999993,True
Edwin Díaz,NYM,547.49,8.89,Edwin Diaz,14710,621242,209.09199999999998,True
Josh Hader,HOU,532.26,8.71,Josh Hader,14212,623352,193.86199999999997,True
Ryan Helsley,STL,529.52,8.74,Ryan Helsley,18138,664854,191.12199999999996,True
Raisel Iglesias,ATL,528.44,8.21,Raisel Iglesias,17130,628452,190.04200000000003,True
Devin Williams,NYY,502.91,9.02,Devin Williams,15816,642207,164.512,True
Mason Miller,ATH,481.0,7.98,Mason Miller,31757,695243,142.60199999999998,True
Jhoan Duran,MIN,475.43,7.91,Jhoan Duran,21029,661395,137.03199999999998,True
Ryan Walker,SFG,458.75,7.04,Ryan Walker,20423,676254,120.35199999999998,True
Félix Bautista,BAL,449.62,8.67,Felix Bautista,20666,642585,111.22199999999998,True
Andrés Muñoz,SEA,446.84,7.79,Andres Munoz,20373,662253,108.44199999999995,True
Jeff Hoffman,TOR,435.26,7.2,Jeff Hoffman,17432,656546,96.86199999999997,True
Robert Suarez,SDP,427.26,7.29,Robert Suarez,30115,663158,88.86199999999997,True
Tanner Scott,LAD,414.96,6.56,Tanner Scott,17586,656945,76.56199999999995,True
Trevor Megill,MIL,388.02,7.14,Trevor Megill,17722,656730,49.62199999999996,True
Alexis Díaz,CIN,378.87,6.14,Alexis Diaz,21132,664747,40.47199999999998,True
Justin Martinez,ARI,377.92,6.15,Justin Martinez,24453,679885,39.52199999999999,True
David Bednar,PIT,376.66,6.5,David Bednar,19569,670280,38.262,True
Ryan Pressly,CHC,372.19,6.69,Ryan Pressly,7005,519151,33.79199999999997,True
Pete Fairbanks,TBR,367.43,7.28,Pete Fairbanks,17998,664126,29.031999999999982,True
Kyle Finnegan,WSN,359.34,6.46,Kyle Finnegan,15009,640448,20.94199999999995,True
Jordan Romano,PHI,358.66,7.31,Jordan Romano,16122,605447,20.262,True
Kenley Jansen,LAA,348.34,6.55,Kenley Jansen,3096,445276,9.94199999999995,True
Carlos Estévez,KCR,348.1,5.87,Carlos Estevez,14542,608032,9.701999999999998,True
Liam Hendriks,BOS,320.48,6.46,Liam Hendriks,3548,521230,-17.918000000000006,True
A.J. Puk,ARI,316.41,5.32,A.J. Puk,19343,640462,-21.988,True
Aroldis Chapman,BOS,312.91,5.26,Aroldis Chapman,10233,547973,-25.488,True
Lucas Erceg,KCR,308.67,5.07,Lucas Erceg,19360,668674,-29.72800000000001,True
Jason Foley,DET,306.03,5.19,Jason Foley,19531,671345,-32.36800000000005,True
Chris Martin,TEX,303.71,5.6,Chris Martin,11847,455119,-34.688000000000045,True
Calvin Faucher,MIA,297.76,5.42,Calvin Faucher,20116,676534,-40.638000000000034,True
Kirby Yates,LAD,297.35,5.33,Kirby Yates,9073,489446,-41.048,True
Camilo Doval,SFG,268.1,4.35,Camilo Doval,21992,666808,-70.298,True
Griffin Jax,MIN,267.98,4.35,Griffin Jax,20253,643377,-70.418,True
Porter Hodge,CHC,266.05,4.74,Porter Hodge,26413,687863,-72.34800000000001,True
Edwin Uceta,TBR,261.97,4.72,Edwin Uceta,20539,670955,-76.428,True
Robert Garcia,TEX,260.54,4.24,Robert Garcia,23363,676395,-77.858,True
Ben Joyce,LAA,259.69,4.74,Ben Joyce,31461,690829,-78.70800000000003,True
Cody Bradford,TEX,258.14,6.27,Cody Bradford,27597,674003,-80.25800000000004,True
Jason Adam,SDP,257.09,4.01,Jason Adam,11861,592094,-81.30800000000005,True
Seth Halvorsen,COL,251.43,4.29,Seth Halvorsen,33294,678020,-86.96800000000002,True
Tyler Kinley,COL,250.89,4.32,Tyler Kinley,18297,641755,-87.50800000000004,True
Bryan Abreu,HOU,246.18,3.62,Bryan Abreu,16609,650556,-92.21800000000002,True
Jesus Tinoco,MIA,243.81,4.12,Jesus Tinoco,16300,622786,-94.58800000000002,True
Orion Kerkering,PHI,237.81,4.09,Orion Kerkering,31776,689147,-100.58800000000002,True
Kevin Ginkel,ARI,235.06,3.96,Kevin Ginkel,19876,656464,-103.33800000000002,True
Tyler Holton,DET,231.76,3.93,Tyler Holton,26231,663947,-106.63800000000003,True
Joel Payamps,MIL,226.02,3.79,Joel Payamps,14332,606303,-112.37800000000001,True
Tony Gonsolin,LAD,225.49,8.03,Tony Gonsolin,19388,664062,-112.90800000000002,True
Luke Weaver,NYY,225.34,3.83,Luke Weaver,16918,596133,-113.05800000000002,True
Matt Strahm,PHI,225.03,3.98,Matt Strahm,13799,621381,-113.36800000000002,True
